하천명,시점위치(위도),시점위치(경도),종점위치(위도),종점위치(경도)
증평천,36.0687104,127.4441369,36.0604153,127.4334811
간은천,36.0936224,127.4183238,36.0719693,127.4269634
건천1천,36.0768777,127.3938078,36.088613,127.3602087
가오리천,36.0715975,127.4040068,36.065895,127.4004811
도랫모퉁이천,36.0699752,127.412459,36.0610691,127.4138693
중역평천,36.050254,127.4144299,36.0521601,127.4187648
계동천,36.0459461,127.4173501,36.0481309,127.422492
백암천,36.041398,127.3977912,36.0382156,127.4169433
광대천,36.036417,127.3979713,36.0387156,127.4201402
두문동천,36.0261677,127.3913791,36.0302764,127.4123015
용동천,36.0455781,127.4495388,36.039315,127.4447758
소티천,36.0305262,127.4583605,36.0251725,127.4529171
광대정천,36.0158065,127.4426563,36.0177587,127.4570955
매곡천,36.0375548,127.4825369,36.0425346,127.5025641
원석동천,36.043851,127.4709905,36.0506866,127.4769912
건천2천,36.0682858,127.3683232,36.0815628,127.3688132
유곡천,36.0162684,127.4010295,36.0217116,127.4000089
개삼천,36.0759271,127.4705762,36.0740306,127.4849806
만악천,36.1476281,127.4366335,36.1472277,127.4110792
엄정천,36.1285499,127.4180238,36.1483557,127.4082923
청강수천,36.1100777,127.4198654,36.1215268,127.393137
심방골천,36.1535998,127.3558903,36.1328196,127.3552221
초미동천,36.1580452,127.4470501,36.146395,127.43006
가막골천,36.1294309,127.3762367,36.1446659,127.3933929
방각골천,36.1308671,127.3856828,36.1333107,127.3900036
봄자리골천,36.1105974,127.3612991,36.0906783,127.3595197
갈막천,36.0967125,127.3767239,36.0887105,127.3604462
석막천,36.1206719,127.3697774,36.1217079,127.3933767
진밭들천,36.1714002,127.33449,36.1742342,127.3457502
원골천,36.1782869,127.3351287,36.1747525,127.3458304
장대울천,36.1766947,127.3569332,36.1766947,127.3569332
터골천,36.1766947,127.3569332,36.1766947,127.3569332
재실말천,36.1766947,127.3569332,36.1766947,127.3569332
하막현천,36.2050708,127.3637316,36.2028814,127.3682858
교촌천,36.1584295,127.3786331,36.1511169,127.3810133
가왕천,36.1879886,127.4266828,36.1777629,127.3941043
장암천,36.1643735,127.4438288,36.17092,127.4291435
자라진천,36.1794971,127.4328157,36.1756254,127.4355419
장전천,36.1790159,127.4478074,36.1787506,127.4410409
신촌천,36.178917,127.4248129,36.1716557,127.4297422
오곡천,36.1595272,127.4292257,36.1634221,127.4218131
월곡천,36.1665246,127.4176578,36.1612103,127.4168624
수영골천,36.171462,127.3817296,36.1694061,127.3936116
바탕골천,36.1945976,127.4106388,36.1844705,127.4124336
두만리천,36.1950479,127.4180939,36.1865229,127.4204633
개티천,36.1861432,127.3693931,36.1845347,127.378599
백암천,36.2054446,127.3984207,36.1911761,127.3871787
적귀천,36.21013,127.3877209,36.2096399,127.3828051
절골천,36.2002327,127.3750683,36.2018781,127.3791613
석막천,36.2115958,127.3711422,36.2140514,127.3790082
문암천,36.226598,127.3975786,36.2252991,127.3783807
지량천,36.2596058,127.3718353,36.2621443,127.3807754
안개티천,36.1797816,127.3715651,36.1838419,127.3788762
다복천,36.1590505,127.4241816,36.161154,127.4195015
목소천,36.1750686,127.4202131,36.1770671,127.4104538
추정천,36.1724728,127.4675431,36.1906688,127.4770488
마전천,36.1879133,127.4489978,36.1875214,127.4630309
용지천,36.1659755,127.4593744,36.1775781,127.4599546
태봉천,36.193172,127.4521829,36.1900496,127.4679679
미삭리천,36.2007512,127.4635948,36.1982049,127.481099
마음동천,36.2058476,127.4703554,36.2011903,127.4816692
남산천,36.1944689,127.4911313,36.2019004,127.4832231
장대천,36.1862108,127.4950322,36.1879162,127.4772108
장산리천,36.2209963,127.4854475,36.2145763,127.4940121
원당천,36.2266479,127.498144,36.2251273,127.504562
수통골천,36.2148909,127.523739,36.2153689,127.516221
박오재천,36.2101466,127.4967544,36.213286,127.4930204
골말천,36.2105086,127.475456,36.2051562,127.484059
상촌천,36.2024772,127.4956116,36.2058026,127.4869404
등기골천,36.2175509,127.5219769,36.2172707,127.515711
금동천,36.2295286,127.5191112,36.2342209,127.5144451
재말골천,36.2420147,127.5314119,36.2391126,127.5275944
말랭이천,36.2401503,127.5319409,36.2386568,127.5279718
동석천,36.2071424,127.5240485,36.2077459,127.5189299
구럿들천,36.2042054,127.5209546,36.2077459,127.5189299
미호강,36.9432583,127.4590515,36.7757096,127.5193079
구암천,36.9710578,127.4258353,36.9410917,127.4411374
군자천,36.9388829,127.6904779,36.8623216,127.5666935
백곡천,36.8963483,127.3138775,36.6847285,127.4450047
보강천,36.7979566,127.589951,36.6847285,127.4450047
성암천,36.844324,127.360536,36.6283272,127.4913407
장량천,36.9453343,127.3947652,36.9190691,127.4331203
초평천,36.8684921,127.5999844,36.8050712,127.5179376
칠장천,37.0082222,127.4367463,36.9333397,127.4661864
한천,36.9388829,127.6904779,36.8596552,127.5124575
미호천,36.9333397,127.4661864,36.9432583,127.4590515
한강,36.9454457,128.0250168,37.1966131,127.7401461
달천,36.9071485,127.895075,36.9884551,127.8890921
동달천,36.9423501,127.478376,36.90772,128.1695119
조동천,37.027154,127.968313,37.027154,127.968313
석문동천,36.8289519,128.0697574,36.9213192,127.9192002
설운천,36.9102311,127.9844976,36.9213192,127.9192002
요도천,36.9874556,127.6677943,36.965944,127.8846915
영평천,37.0175982,127.807275,36.9495339,127.8523076
충주천,36.9400043,127.9734488,36.990239,127.9144581
교현천,36.9718658,127.9589331,36.9711246,127.9300331
하구암천,37.0378273,127.8312006,36.9872192,127.9282976
대전천,37.0480209,127.9619655,37.042471,127.922249
영덕천,37.080675,127.9569195,36.9737386,127.933219
송강천,37.080675,127.9569195,37.0719895,127.9321155
원곡천,37.13912,127.9082539,37.0719895,127.9321155
구룡천,37.1348809,127.8824555,36.9872192,127.9282976
오량천,37.1213119,127.8479114,36.9872192,127.9282976
한포천,37.0651088,127.6998996,36.9872192,127.9282976
앙성천,37.0991203,127.7146463,36.9872192,127.9282976
운계천,37.1632671,127.8838376,36.9872192,127.9282976
비산천,36.9862173,127.7831509,36.9862173,127.7831509
가래울천,37.141174,127.7274394,37.1526202,127.7328392
가신제천,37.0724702,127.7220983,37.0488654,127.7251233
가청천,37.1065178,127.8582931,37.101686,127.8479515
가춘천,37.1469702,127.9427384,37.1343625,127.9448184
간장골천,37.1363642,127.7424028,37.141229,127.7377232
갈동천,37.016837,127.8397678,37.0190457,127.8473388
갈치천,36.9872192,127.9282976,37.1108835,127.7487689
갓도장천,37.0278201,127.824068,37.0337464,127.8286809
강현천,37.0946384,127.8898723,37.0908765,127.9011062
개간지천,36.982909,127.8622483,36.9799662,127.8546656
거리천,36.9839239,127.8460303,36.9692498,127.8464321
검단천,37.1898108,127.7296206,37.1891879,127.7473964
