한글보통명,위도,경도
고라니,37.76153433,126.7074956
고라니,36.83704982,126.1979392
고라니,37.75657073,126.7175433
고라니,37.75660406,126.7175567
고라니,36.83408982,126.1878992
고라니,37.76192128,126.7030617
고라니,37.76177378,126.7034758
고라니,37.76151655,126.7064825
고라니,37.75720934,126.7169125
고라니,37.76172572,126.703652
고라니,37.76152822,126.7072775
고라니,37.76147628,126.7059439
고라니,37.77049739,126.6879747
고라니,37.76181405,126.7034278
고라니,37.75674351,126.7173492
고라니,37.76151517,126.7076478
고양이,37.76166378,126.703785
고라니,37.77122433,126.6881647
고라니,37.76163044,126.7038772
고라니,37.76161683,126.7039983
고라니,37.76799517,126.6861347
고라니,37.77109794,126.6881283
고라니,37.77009878,126.6877003
고라니,37.76151211,126.7065831
고라니,37.75750101,126.7166697
고라니,37.76153989,126.704585
고양이,37.76149933,126.7078331
고라니,37.7617385,126.7036508
고라니,37.77106711,126.6881272
고라니,37.76152461,126.7072431
고라니,37.76152322,126.7071575
고라니,37.77040378,126.687855
고라니,37.77125767,126.6883886
고라니,37.77049517,126.6880292
고라니,37.75713156,126.7169986
고라니,37.77035294,126.6878245
고라니,37.76147961,126.7061411
고라니,37.77163405,126.6883342
청설모,37.76836044,126.686865
고라니,36.83212982,126.1894392
멧밭쥐,37.76325572,126.6991031
고라니,37.77124211,126.6883333
고라니,37.76173017,126.7036414
고라니,37.76146239,126.7051417
너구리,37.75661406,126.7174772
고라니,37.77031572,126.6874092
고라니,37.81815183,126.7801339
고라니,37.81792794,126.7780881
고라니,37.81677767,126.776705
고라니,37.819746,126.7813853
고라니,37.82004294,126.7814483
다람쥐,36.9651898,126.3927591
고라니,37.81794322,126.7798278
고라니,37.81938683,126.7813517
고라니,37.81641405,126.7758839
고라니,37.81752711,126.7774036
고라니,37.81983767,126.7813945
고라니,37.81641517,126.7758689
고라니,36.9776498,126.4294891
고라니,37.81973683,126.781382
고라니,37.81934822,126.7771042
너구리,36.9614298,126.4045991
멧밭쥐,37.85521959,126.7772439
고라니,36.9726898,126.4240591
고라니,36.9691998,126.4167791
고라니,37.81780933,126.7776281
고라니,36.98929979,126.3781891
고라니,37.81870017,126.7810495
고라니,36.9732598,126.3773091
너구리,36.9757598,126.4386691
고라니,36.9760298,126.3776591
고라니,37.817891,126.778122
고라니,36.9732898,126.3828391
고라니,37.81961544,126.7813642
고라니,36.9655398,126.3853691
두더지,37.81912072,126.7765589
고라니,37.81940128,126.7768283
고라니,37.81915628,126.7812931
너구리,37.85362738,126.7785297
고라니,36.9586798,126.3934691
고라니,37.84802599,126.7820022
너구리,36.9629898,126.4063891
고라니,37.85252904,126.7792403
고라니,36.9712598,126.3901791
고라니,37.84637404,126.782835
고라니,36.98388979,126.3782691
고라니,37.84992266,126.781247
두더지,37.81811517,126.7789164
고라니,37.8467021,126.7833264
고라니,37.81906572,126.7812986
두더지,37.85230877,126.7797697
고라니,36.9665798,126.3855391
두더지,37.85328821,126.7787917
고라니,37.81936627,126.7772561
두더지,37.85388682,126.7782275
고라니,36.9757998,126.3833091
고라니,36.9581598,126.3943591
고라니,37.81744155,126.7763117
고라니,37.81899961,126.7812425
고라니,36.9692798,126.4351191
고라니,37.81977933,126.7814533
고라니,37.81690378,126.7779106
고라니,37.81790989,126.7798331
두더지,37.85178238,126.7797217
두더지,37.81889822,126.77639
고라니,37.84963571,126.781312
두더지,37.85049571,126.780232
너구리,37.84926377,126.7817817
두더지,37.85132071,126.7799131
두더지,37.85369071,126.7784953
두더지,37.85304599,126.7789625
두더지,37.85286793,126.7790717
너구리,37.84992293,126.7811956
두더지,37.85270293,126.779145
너구리,37.84864377,126.7821458
너구리,37.8465396,126.7835106
고라니,37.85265127,126.7791717
고라니,37.85278988,126.7791106
고라니,36.9792198,126.4400091
고라니,36.9739198,126.4377491
고라니,37.84946904,126.7814647
고라니,37.81712128,126.7773422
고라니,37.8483521,126.7819292
고라니,37.81774183,126.7795545
고라니,37.85309182,126.7789314
고라니,37.816601,126.7759978
고라니,37.84957654,126.7812789
고라니,37.81770905,126.7795192
고라니,36.9636698,126.4080591
두더지,37.85359154,126.7785847
고라니,36.9593498,126.3916791
고라니,36.9710598,126.3886191
고라니,36.9685998,126.3956491
고라니,36.9720898,126.3881591
고라니,36.9659498,126.3995091
너구리,36.9668998,126.3945991
고라니,36.82396982,126.1968492
고라니,36.9635898,126.4195791
고라니,36.83255982,126.1995392
두더지,37.81715155,126.777627
고라니,36.9732698,126.3810391
고라니,36.9720098,126.4245791
고라니,37.81795989,126.7791556
고라니,37.81704405,126.7776197
고라니,37.81833017,126.7763195
멧토끼,36.9694898,126.4286991
고라니,36.9614698,126.4096291
너구리,36.99890979,126.3973291
두더지,36.98355979,126.3829991
고라니,36.9692698,126.4345991
고라니,37.818046,126.7790661
고라니,37.81690044,126.77694
고라니,36.9752298,126.4241391
고라니,37.8165785,126.7760545
고라니,36.98294979,126.3837491
고라니,36.9672998,126.3851391
두더지,37.81662628,126.7760253
고라니,37.81682183,126.7768422
고라니,37.8184671,126.7762967
고라니,37.81990738,126.7813647
고라니,37.81847628,126.7762853
고라니,37.81700711,126.7774789
고라니,37.81902711,126.7812431
고라니,37.81912711,126.7765539
너구리,37.84938682,126.7817225
고라니,37.84734321,126.7823661
고라니,37.81769683,126.7775164
고라니,37.81694211,126.7777528
너구리,36.9664798,126.3847491
고라니,36.83599982,126.1958592
너구리,36.9766998,126.4273091
고라니,37.81811989,126.7800706
두더지,36.9657298,126.4184491
멧돼지,36.81250008,128.9638773
고라니,36.98442979,126.3800991
두더지,37.817126,126.7773156
고라니,36.9766098,126.3930991
고라니,37.81900905,126.7764192
고라니,37.81957599,126.7813125
고라니,37.8194196,126.7778581
고라니,37.81935182,126.7775267
고라니,37.81744461,126.7773695
