지역,발생건수,위도,경도,도로등급구분코드
경북 의성군,1,36.48563879823024,128.34107110167452,103
경기 여주시,1,37.40667967093288,127.55531447564256,103
경기 여주시,1,37.41506568805264,127.45487953185238,103
경기 여주시,1,37.4127326009607,127.45285201834312,103
당진,1,36.96038630176261,126.76990321902646,103
충남 서천군,1,36.07554713460089,126.68596278108792,103
화성,1,37.183248296011726,126.778507349064,103
당진,1,36.9425277368113,126.79151272587674,103
경남 사천시,1,35.09482697633879,128.06152479329316,103
경남 사천시,1,35.0976877500803,128.06155249268556,103
대구 북구,1,35.898101033024616,128.51007175711814,103
전남 나주시,1,34.995898743308736,126.72054255165342,103
경기 용인시 처인구,1,37.17239916397338,127.37092241270928,103
경기 용인시 처인구,1,37.17345459763389,127.37125568372484,103
경기 용인시 처인구,1,37.178259555865935,127.37045006929732,103
경기 용인시 처인구,1,37.18203694095365,127.37403294816156,103
경기 용인시 처인구,1,37.1830368323718,127.3747272968932,103
경기 가평군,1,37.74177529784819,127.4219009957588,103
전남 나주시,1,34.99203810335764,126.72134812685393,103
서울 성북구,1,37.60070170162843,127.01408375450612,103
경기 남양주시,1,37.61214715464694,127.14634830126758,103
부산 서구,1,35.09989935623531,129.01537990209926,103
부산 사하구,1,35.103537193737985,128.98191069912443,103
서울 성북구,1,37.590397516024375,127.02033343959312,103
시흥,1,37.38886379570724,126.86929832658736,103
서울 강북구,1,37.6190605692861,127.01386102829,103
경기 수원시 권선구,1,37.25038348119782,127.02767570841962,103
화성,1,37.22874780992085,127.06042313783436,103
인천 중구,1,37.49242770278531,126.4866661066187,103
서울 구로구,1,37.49682208277588,126.82560509897624,103
서울 영등포구,1,37.53348551057801,126.89415292844012,103
화성,1,37.10456596386126,126.92221780216089,103
경기 의왕시,1,37.38883797055998,126.97784331400938,103
서울 종로구,1,37.58159296722655,127.01663960741368,103
경기 안성시,1,37.074215129802,127.28898868057485,103
인천 계양구,1,37.539481917192965,126.7345294541774,103
인천 계양구,1,37.54125949795194,126.73564040668091,103
경기 가평군,1,37.79421231172303,127.36615489438262,103
울산 울주군,1,35.40695164604522,129.28848473452558,103
경기 용인시 처인구,1,37.286771398033565,127.21846171208952,103
전북 김제시,1,35.715151209118,126.99649806782408,103
서울 금천구,1,37.4570226259377,126.89518277113126,103
울산 울주군,1,35.49105337345255,129.3170630105047,103
부여,1,36.216311368364224,126.87991269419464,103
서울 성동구,1,37.54082051982021,127.03649994706542,103
